gene=YHR180W	YHR180W
unassigned_transcript_2857	YHR180W
gene=YNCH0015W	YNCH0015W
unassigned_transcript_2858	YNCH0015W
gene=SVP26	SVP26
unassigned_transcript_2859	SVP26
gene=RGD3	RGD3
unassigned_transcript_2860	RGD3
gene=GND1	GND1
unassigned_transcript_2861	GND1
gene=SSP1	SSP1
unassigned_transcript_2862	SSP1
gene=PFS1	PFS1
unassigned_transcript_2863	PFS1
gene=YNCH0016C	YNCH0016C
unassigned_transcript_2864	YNCH0016C
gene=KOG1	KOG1
unassigned_transcript_2865	KOG1
gene=IKI1	IKI1
unassigned_transcript_2866	IKI1
gene=GPI16	GPI16
unassigned_transcript_2867	GPI16
gene=PTH1	PTH1
unassigned_transcript_2868	PTH1
gene=ERG9	ERG9
unassigned_transcript_2869	ERG9
gene=CTF8	CTF8
unassigned_transcript_2870	CTF8
gene=LNP1	LNP1
unassigned_transcript_2871	LNP1
gene=EGD2	EGD2
unassigned_transcript_2872	EGD2
gene=MDM31	MDM31
unassigned_transcript_2873	MDM31
gene=NVJ1	NVJ1
unassigned_transcript_2874	NVJ1
gene=UTP9	UTP9
unassigned_transcript_2875	UTP9
gene=RIX1	RIX1
unassigned_transcript_2876	RIX1
gene=AIM18	AIM18
unassigned_transcript_2877	AIM18
gene=AIM46	AIM46
unassigned_transcript_2878	AIM46
gene=NBL1	NBL1
unassigned_transcript_2879	NBL1
gene=RPN10	RPN10
unassigned_transcript_2880	RPN10
gene=PPX1	PPX1
unassigned_transcript_2881	PPX1
gene=SMN1	SMN1
unassigned_transcript_2882	SMN1
gene=RPS4B	RPS4B
unassigned_transcript_2883	RPS4B
gene=MNL1	MNL1
unassigned_transcript_2884	MNL1
gene=SCH9	SCH9
unassigned_transcript_2885	SCH9
gene=SKN7	SKN7
unassigned_transcript_2886	SKN7
gene=SET5	SET5
unassigned_transcript_2887	SET5
gene=BAT1	BAT1
unassigned_transcript_2888	BAT1
gene=CRG1	CRG1
unassigned_transcript_2889	CRG1
gene=YHR210C	YHR210C
unassigned_transcript_2890	YHR210C
